periodo,anio,mes,banco,grupo,indicador,segmento,valor
2023-05-01,2023,5,banco_falabella,retail_financiero,indice_provisiones,vivienda,0.46848442266508394
2023-05-01,2023,5,banco_ripley,retail_financiero,indice_provisiones,adeudado_bancos,
2023-05-01,2023,5,banco_ripley,retail_financiero,indice_provisiones,comerciales,13.039841996238552
2023-05-01,2023,5,banco_ripley,retail_financiero,indice_provisiones,consumo,8.93791855414243
2023-05-01,2023,5,banco_ripley,retail_financiero,indice_provisiones,personas_total,7.469183995992654
2023-05-01,2023,5,banco_ripley,retail_financiero,indice_provisiones,total_colocaciones,7.48282964490686
2023-05-01,2023,5,banco_ripley,retail_financiero,indice_provisiones,vivienda,0.5579405725354677
2023-05-01,2023,5,banco_santander_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.21874956269678647
2023-05-01,2023,5,banco_santander_chile,banca_tradicional,indice_provisiones,comerciales,3.426204039424003
2023-05-01,2023,5,banco_santander_chile,banca_tradicional,indice_provisiones,consumo,5.94894606097806
2023-05-01,2023,5,banco_santander_chile,banca_tradicional,indice_provisiones,personas_total,1.9234800143912905
2023-05-01,2023,5,banco_santander_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.6225965486336804
2023-05-01,2023,5,banco_santander_chile,banca_tradicional,indice_provisiones,vivienda,0.7893015124850735
2023-06-01,2023,6,banco_bci,banca_tradicional,indice_provisiones,adeudado_bancos,0.18275540651628988
2023-06-01,2023,6,banco_bci,banca_tradicional,indice_provisiones,comerciales,1.9265691116012225
2023-06-01,2023,6,banco_bci,banca_tradicional,indice_provisiones,consumo,8.423972581195542
2023-06-01,2023,6,banco_bci,banca_tradicional,indice_provisiones,personas_total,2.1116607733748087
2023-06-01,2023,6,banco_bci,banca_tradicional,indice_provisiones,total_colocaciones,2.0044570279025784
2023-06-01,2023,6,banco_bci,banca_tradicional,indice_provisiones,vivienda,0.4535788747118431
2023-06-01,2023,6,banco_de_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.1816921145296909
2023-06-01,2023,6,banco_de_chile,banca_tradicional,indice_provisiones,comerciales,1.9198094731187574
2023-06-01,2023,6,banco_de_chile,banca_tradicional,indice_provisiones,consumo,6.850114794590831
2023-06-01,2023,6,banco_de_chile,banca_tradicional,indice_provisiones,personas_total,2.257027168809406
2023-06-01,2023,6,banco_de_chile,banca_tradicional,indice_provisiones,total_colocaciones,2.0770986681803127
2023-06-01,2023,6,banco_de_chile,banca_tradicional,indice_provisiones,vivienda,0.2570417569650032
2023-06-01,2023,6,banco_falabella,retail_financiero,indice_provisiones,adeudado_bancos,
2023-06-01,2023,6,banco_falabella,retail_financiero,indice_provisiones,comerciales,4.104753967667973
2023-06-01,2023,6,banco_falabella,retail_financiero,indice_provisiones,consumo,10.236341651430227
2023-06-01,2023,6,banco_falabella,retail_financiero,indice_provisiones,personas_total,6.142733229069051
2023-06-01,2023,6,banco_falabella,retail_financiero,indice_provisiones,total_colocaciones,6.042572503180435
2023-06-01,2023,6,banco_falabella,retail_financiero,indice_provisiones,vivienda,0.4840615583750306
2023-06-01,2023,6,banco_ripley,retail_financiero,indice_provisiones,adeudado_bancos,
2023-06-01,2023,6,banco_ripley,retail_financiero,indice_provisiones,comerciales,11.230717890634391
2023-06-01,2023,6,banco_ripley,retail_financiero,indice_provisiones,consumo,9.099110390745768
2023-06-01,2023,6,banco_ripley,retail_financiero,indice_provisiones,personas_total,7.619229216361367
2023-06-01,2023,6,banco_ripley,retail_financiero,indice_provisiones,total_colocaciones,7.627631698234411
2023-06-01,2023,6,banco_ripley,retail_financiero,indice_provisiones,vivienda,0.6344128865012223
2023-06-01,2023,6,banco_santander_chile,banca_tradicional,indice_provisiones,adeudado_bancos,0.03599999872709496
